GDGT-0,GDGT-1,GDGT-2,GDGT-3,Crenarchaeol,Cren',Sea Surface Temp
0.3181,0.0717,0.0687,0.0077,0.4975,0.0363,19.3
0.0771,0.0373,0.1111,0.0236,0.6423,0.1086,27.4
0.0768,0.0327,0.1125,0.0226,0.6377,0.1177,27.4
0.2156,0.0465,0.0297,0.0111,0.69,0.007,25.1
0.3278,0.0682,0.0565,0.0084,0.5055,0.0335,18.4
0.2,0.059,0.078,0.011,0.597,0.056,26.7
0.1943,0.0548,0.0397,0.0136,0.6863,0.0114,25.1
0.0795,0.0377,0.1249,0.0236,0.6174,0.1169,28
0.175,0.05,0.069,0.012,0.64,0.054,27
0.3331,0.0643,0.0504,0.0094,0.5123,0.0304,18.4
0.17,0.0597,0.0518,0.0159,0.6826,0.0201,25.8
0.3426,0.0701,0.0614,0.0093,0.4837,0.0329,20.2
0.204,0.057,0.07,0.012,0.602,0.055,26.9
0.2480,0.0710,0.0906,0.0142,0.5206,0.0556,26.4
0.182,0.05,0.064,0.011,0.635,0.058,26.9
0.2086,0.0621,0.0772,0.0124,0.5913,0.0484,26.4
0.0841,0.0401,0.1228,0.0238,0.617,0.1122,28.6
0.3315,0.0699,0.0565,0.0101,0.4994,0.0325,20.1
0.0721,0.0368,0.1015,0.0208,0.6691,0.0996,28.8
0.0749,0.0385,0.1079,0.0231,0.639,0.1167,28.8
0.217,0.0631,0.0781,0.0121,0.5811,0.0487,26.6
0.0781,0.0372,0.1074,0.0211,0.6565,0.0998,28.8
0.3279,0.0721,0.0593,0.0095,0.4982,0.0329,20.1
0.169,0.051,0.063,0.014,0.651,0.053,26.5
0.181,0.048,0.065,0.012,0.642,0.051,27.2
0.0747,0.0367,0.1016,0.0194,0.6622,0.1054,29.1
0.193,0.06,0.077,0.013,0.593,0.065,26.9
0.197,0.061,0.073,0.01,0.604,0.054,26.8
0.3401,0.0727,0.0639,0.0097,0.48,0.0336,22.2
0.0808,0.0422,0.1028,0.0186,0.6564,0.0992,29.2
0.2346,0.0634,0.0816,0.0120,0.5533,0.0551,27
0.2,0.063,0.086,0.012,0.575,0.065,26.9
0.193,0.066,0.07,0.009,0.613,0.048,26.8
0.217,0.055,0.073,0.009,0.592,0.054,26.8
0.1999,0.0616,0.0812,0.0109,0.5964,0.0501,27.3
0.0894,0.0411,0.1019,0.0264,0.6366,0.1047,29.3
0.1397,0.0478,0.0931,0.0256,0.6034,0.0904,29.3
0.0904,0.043,0.0983,0.0195,0.6583,0.0905,29.3
0.203,0.064,0.087,0.011,0.573,0.06,26.9
0.18,0.049,0.072,0.009,0.628,0.061,27.2
0.194,0.05,0.063,0.009,0.625,0.06,27.3
0.2286,0.0575,0.0696,0.01,0.592,0.0424,27
0.3176,0.0607,0.0439,0.0161,0.5458,0.016,23.5
0.213,0.057,0.073,0.011,0.592,0.054,27.1
0.212,0.06,0.078,0.01,0.584,0.057,27.1
0.1515,0.0491,0.0891,0.0155,0.6439,0.0510,28.3
0.183,0.057,0.077,0.01,0.625,0.049,27.3
0.1955,0.0599,0.072,0.0139,0.5988,0.0599,26.6
0.177,0.052,0.076,0.009,0.622,0.063,27.9
0.193,0.062,0.085,0.011,0.591,0.059,28
0.3451,0.0751,0.0692,0.0088,0.4698,0.0321,24.1
0.1146,0.0457,0.0807,0.019,0.6577,0.0823,29
0.3368,0.0779,0.0718,0.0091,0.4736,0.0308,23.4
0.3357,0.0793,0.0685,0.0101,0.477,0.0293,23.4
0.3142,0.0702,0.0583,0.0124,0.5157,0.0291,23.4
0.3251,0.0702,0.0576,0.014,0.5073,0.0258,23.4
0.2814,0.0726,0.0794,0.0103,0.5158,0.0405,24.2
0.205,0.061,0.078,0.012,0.586,0.058,27.4
0.2101,0.0603,0.0768,0.0116,0.5949,0.0464,27.1
0.201,0.058,0.075,0.01,0.604,0.053,27.6
0.213,0.062,0.085,0.01,0.571,0.059,27.7
0.3131,0.0684,0.0579,0.0144,0.5216,0.0246,24.2
0.3135,0.0754,0.0637,0.011,0.5069,0.0294,24.2
0.2218,0.0617,0.0802,0.0115,0.5795,0.0453,27.7
0.2102,0.0669,0.0783,0.0125,0.5662,0.066,28.1
0.3329,0.0805,0.0738,0.0111,0.4726,0.0291,24.8
0.3381,0.0776,0.0738,0.0099,0.4704,0.0302,25.3
0.199,0.052,0.076,0.009,0.606,0.058,28.2
0.179,0.05,0.08,0.01,0.63,0.051,28.2
0.2466,0.0682,0.0852,0.0155,0.5313,0.0531,26.1
0.218,0.055,0.079,0.009,0.577,0.061,28.1
0.2443,0.0636,0.077,0.012,0.5429,0.0601,26.1
0.2607,0.0649,0.0798,0.0128,0.5285,0.0533,26.1
0.2319,0.0693,0.0761,0.0138,0.5611,0.0477,26.1
0.2229,0.0675,0.0794,0.0166,0.5636,0.0501,26.1
0.2249,0.062,0.0614,0.0165,0.5924,0.0428,26.1
0.2863,0.0715,0.0842,0.0127,0.4941,0.0513,26.1
0.2824,0.0717,0.0879,0.0121,0.4919,0.0541,26.6
0.2791,0.0729,0.0924,0.0108,0.4953,0.0495,26.6
0.1624,0.0651,0.0937,0.0237,0.6034,0.0516,26.6
0.176,0.051,0.07,0.011,0.63,0.061,27.9
0.179,0.052,0.077,0.01,0.633,0.049,28.1
0.3225,0.0798,0.0785,0.0074,0.4752,0.0366,27
0.2958,0.0721,0.072,0.0135,0.5176,0.0289,27.3
0.3009,0.0741,0.0743,0.0124,0.5081,0.0302,27.3
0.2178,0.0587,0.0804,0.0098,0.5938,0.0395,28.5
0.3296,0.0797,0.0796,0.0085,0.4682,0.0344,27.4
0.345,0.067,0.063,0.006,0.49,0.031,27.7
0.152,0.046,0.068,0.016,0.66,0.059,28.5
0.145,0.05,0.071,0.013,0.663,0.058,28.9
0.1637,0.0535,0.0787,0.0142,0.6414,0.0485,28.2
0.135,0.05,0.077,0.014,0.667,0.058,28.5
0.119,0.047,0.072,0.015,0.7,0.046,28.5
0.137,0.049,0.07,0.013,0.67,0.06,28.5
0.2734,0.0662,0.0763,0.0128,0.5383,0.0330,28.8
0.2378,0.0625,0.0824,0.0148,0.5533,0.0493,28.9
0.2947,0.0801,0.0883,0.0154,0.4795,0.0421,27.4
0.2972,0.0815,0.0797,0.0101,0.4949,0.0367,27.6
0.2882,0.0808,0.0861,0.0141,0.4886,0.0422,27.4
0.34,0.062,0.061,0.005,0.503,0.029,27.5
0.2606,0.0745,0.0824,0.0133,0.5319,0.0372,27.4
0.2995,0.0887,0.0973,0.0171,0.4548,0.0427,27.4
0.2737,0.0721,0.0792,0.0113,0.5283,0.0354,27.4
0.2993,0.0743,0.075,0.0102,0.5085,0.0327,27.5
0.2705,0.0691,0.0763,0.0115,0.5381,0.0345,27.3
0.277,0.0741,0.0748,0.0104,0.5281,0.0356,27.4
0.1533,0.0499,0.072,0.0441,0.6527,0.0279,27.5
0.272,0.0772,0.0868,0.0127,0.5111,0.0402,27.3
0.2693,0.0666,0.0712,0.0155,0.5433,0.0341,27.3
0.1235,0.0671,0.0859,0.0494,0.6459,0.0282,27.3
0.3162,0.0822,0.0802,0.0082,0.4808,0.0323,27.6
0.3121,0.0806,0.0769,0.0082,0.4872,0.035,27.5
0.3076,0.0823,0.0772,0.0078,0.4888,0.0364,27.6
0.0894,0.0531,0.0761,0.0534,0.7057,0.0224,27.8
0.224,0.06,0.066,0.007,0.598,0.045,26.3
0.3023,0.0766,0.0766,0.0104,0.5031,0.0311,27.4
0.2172,0.0643,0.0942,0.0177,0.5573,0.0494,28.7
0.3659,0.064,0.0579,0.0091,0.4787,0.0244,27.4
0.342,0.066,0.059,0.006,0.499,0.029,23.8
0.3102,0.0802,0.0721,0.008,0.4944,0.035,26.7
0.2957,0.0806,0.0734,0.0076,0.5073,0.0353,26.5
0.384,0.059,0.047,0.004,0.494,0.013,27.6
0.226,0.0658,0.0848,0.013,0.5469,0.0635,29.5
0.2314,0.0633,0.082,0.0125,0.5509,0.06,29.5
